# Generated by scripts/generate-korean-completion-dictionary.ps1
# Source: National Institute of Korean Language, Korean learning vocabulary list
# Source SHA-256: 3B49681F05D6A7490C13DA2A2847E433EFFDF65DA409FD295792D6EE33685064
# License: Korea Open Government License Type 1 (attribution)
# Format: display priority<TAB>word; lower priority sorts first
000343	이거
000344	광고
000345	정신
000346	이르다
000347	이루다
000348	아침
000349	웃다
000350	현상
000351	떠나다
000352	기술
000353	전체
000354	그래
000355	얻다
000356	아름답다
000357	민족
000358	조사
000359	그대로
000360	영화
000361	필요
000362	하늘
000363	년대
000364	과학
000365	듯하다
000366	자연
000367	정말
000368	구조
000369	결국
000370	입다
000371	오히려
000372	프로그램
000373	이루어지다
000374	하루
000375	그림
000376	마시다
000377	치다
000378	혼자
000379	교수
000380	사랑
000381	의식
000382	전화
000383	끝나다
000384	돌아오다
000385	맞다
000386	아빠
000387	걸리다
000388	지키다
000389	한번
000390	커피
000391	가슴
000392	길다
000393	바라보다
000394	알아보다
000395	회사
000396	대부분
000397	산업
000398	매우
000399	오르다
000400	음식
000401	표정
000402	일부
000403	요즘
000404	계획
000405	느낌
000406	얼마
000407	고개
000408	성격
000409	계속
000410	세기
000411	세우다
000412	아내
000413	가족
000414	현재
000415	발전
000416	놀다
000417	향하다
000418	관련
000419	형태
000420	도시
000421	작업
000422	분위기
000423	그러하다
000424	나이
000425	우선
000426	믿다
000427	바꾸다
000428	낳다
000429	정보
000430	열리다
000431	좋아하다
000432	그리다
000433	만큼
000434	배우다
000435	역할
000436	행동
000437	국내
000438	비하다
000439	기관
000440	입장
000441	만하다
000442	아래
000443	방식
000444	영향
000445	그럼
000446	나서다
000447	흐르다
000448	깊다
000449	모양
000450	하지만
000451	조건
000452	단계
000453	올리다
000454	그동안
000455	교사
000456	갑자기
000457	넘다
000458	지니다
000459	바람
000460	잘하다
000461	마을
000462	어리다
000463	대표
000464	가능성
000465	방향
000466	대회
000467	목소리
000468	노래
000469	바다
000470	힘들다
000471	공부
000472	움직이다
000473	의원
000474	노력
000475	전혀
000476	언니
000477	단체
000478	알려지다
000479	가능하다
000480	능력
000481	주장하다
000482	자식
000483	돌리다
000484	주민
000485	모으다
000486	자료
000487	존재
000488	학년
000489	신문
000490	이해하다
000491	제품
000492	분야
000493	선생
000494	돌아가다
000495	사업
000496	행위
000497	수준
000498	지난해
000499	표현
000500	기분
000501	젊다
000502	동시
000503	기능
000504	순간
000505	전쟁
000506	할머니
000507	회의
000508	방송
000509	이야기하다
000510	나무
000511	자다
000512	연극
000513	마찬가지
000514	걷다
000515	노동
000516	이때
000517	과거
000518	가치
000519	집단
000520	현대
000521	살펴보다
000522	장관
000523	차이
000524	풀다
000525	시절
000526	물건
000527	직접
000528	개인
000529	근데
000530	작가
000531	효과
000532	불교
000533	끌다
000534	대로
000535	빨리
000536	시작되다
000537	설명하다
000538	우주
000539	시기
000540	마치
000541	생산
000542	바라다
000543	강하다
000544	경험
000545	음악
000546	최고
000547	나타내다
000548	아프다
000549	적다
000550	고향
000551	놀라다
000552	다양하다
000553	울다
000554	농민
000555	드러나다
000556	은행
000557	지내다
000558	결혼
000559	동생
000560	소설
000561	오후
000562	질서
000563	담다
000564	모이다
000565	시민
000566	회장
000567	빠르다
000568	스스로
000569	아기
000570	아저씨
000571	옛날
000572	이날
000573	제대로
000574	던지다
000575	공간
000576	이곳
000577	마지막
000578	벌이다
000579	병원
000580	자세
000581	강조하다
000582	경찰
000583	맡다
000584	저녁
000585	한편
000586	그러면
000587	기자
000588	넓다
000589	시험
000590	주로
000591	훨씬
000592	통일
000593	들어서다
000594	건강
000595	가깝다
000596	건물
000597	시설
000598	외국
000599	어른
000600	주변
000601	대신
000602	원인
000603	팔다
000604	차례
000605	열심히
000606	일하다
000607	재산
000608	조금
000609	부모
000610	약간
000611	언어
000612	요구하다
000613	올라가다
000614	감독
000615	그날
000616	자주
000617	당하다
000618	삼다
000619	기간
000620	담배
000621	일으키다
000622	일단
000623	할아버지
000624	조직
000625	태어나다
000626	공장
000627	벌써
000628	즐기다
000629	환자
000630	변하다
000631	사고
000632	그래도
000633	아무리
000634	맞추다
000635	일반
000636	재미있다
000637	가르치다
000638	대화
000639	막다
000640	올해
000641	달리
000642	붙이다
000643	인물
000644	전국
000645	마치다
000646	다만
000647	도움
000648	가정
000649	걸다
000650	빠지다
000651	멀다
000652	버스
000653	오늘날
000654	잠시
000655	농업
000656	대다
000657	의견
000658	무대
000659	사진
000660	주장
000661	표현하다
000662	인하다
000663	이상하다
000664	제일
000665	붙다
000666	아마
000667	얘기하다
000668	잇다
000669	경기
000670	목적
000671	태도
000672	남성
000673	주위
000674	대책
000675	그만
000676	발생하다
000677	다리
000678	아무
000679	어쩌다
000680	재료
000681	각각
000682	결코
000683	옮기다
000684	항상
000685	잃다
000686	자유
000687	책임
000688	바뀌다
000689	비슷하다
000690	심하다
000691	경쟁
000692	달러
000693	사랑하다
000694	아니
000695	여름
000696	자라다
000697	구체적
000698	기회
000699	실시하다
000700	지구
000701	번째
000702	소비자
000703	싫다
000704	규모
000705	기준
000706	반드시
000707	갖추다
000708	그러니까
000709	받아들이다
000710	현장
000711	건설
000712	꺼내다
000713	노동자
000714	동네
000715	언제나
000716	완전히
000717	자동차
000718	전하다
000719	존재하다
000720	개월
000721	별로
000722	어린이
000723	정하다
000724	한마디
000725	유지하다
000726	이데올로기
000727	공부하다
000728	대중
000729	늘어나다
000730	닦다
000731	말씀
000732	괜찮다
000733	눈물
000734	각종
000735	피하다
000736	거치다
000737	나아가다
000738	지식
000739	여전히
000740	주인
000741	발견하다
000742	인류
000743	특징
000744	드리다
000745	선수
000746	형식
000747	마련하다
000748	발표하다
000749	주제
000750	걸치다
000751	겪다
000752	관점
000753	기본
000754	미터
000755	사라지다
000756	어떠하다
000757	감정
000758	기억
000759	인기
000760	아파트
000761	가끔
000762	구성
000763	실제로
000764	짧다
000765	고맙다
000766	관리
000767	그곳
000768	달다
000769	비롯하다
000770	과연
000771	들리다
000772	달리다
000773	바쁘다
000774	이전
000775	인정하다
000776	중앙
000777	나쁘다
000778	불구하다
000779	시키다
000780	게임
000781	국제
000782	그룹
000783	인생
000784	전통
000785	기르다
000786	조사하다
000787	커다랗다
000788	시인
000789	언제
000790	평가
000791	내려오다
000792	위치
000793	줄이다
000794	가격
000795	달라지다
000796	비다
000797	삼국
000798	손님
000799	원하다
000800	통신
000801	확인하다
000802	모임
000803	웃음
000804	기계
000805	물질
000806	아나운서
000807	뉴스
000808	살아가다
000809	펴다
000810	수업
000811	겨울
000812	종교
000813	자연스럽다
000814	돌다
000815	식사
000816	안다
000817	이해
000818	잊다
000819	제시하다
000820	불과하다
000821	혹은
000822	엄청나다
000823	텔레비전
000824	파악하다
000825	실천
000826	노력하다
000827	보호
000828	씻다
000829	늦다
000830	이웃
000831	편지
000832	공동
000833	까닭
000834	방안
000835	센티미터
000836	분명하다
000837	분석
000838	소녀
000839	지나가다
000840	상품
000841	설명
000842	훌륭하다
000843	관계자
000844	새로
000845	이어지다
000846	티브이
000847	종류
000848	낮다
000849	어깨
000850	지적하다
000851	부부
000852	오래
000853	요구
000854	키우다
000855	눕다
000856	발달하다
000857	발전하다
000858	여행
000859	죽음
000860	고통
000861	등장하다
000862	듯이
000863	어울리다
000864	오월
000865	쉬다
000866	알리다
000867	차다
000868	멀리
000869	빼다
000870	예정
000871	오빠
000872	즐겁다
000873	한계
000874	흔히
000875	바탕
000876	사월
000877	싸우다
000878	예쁘다
000879	갈등
000880	느껴지다
000881	의지
000882	전문
000883	정확하다
000884	초기
000885	나중
000886	맛있다
000887	며칠
000888	신경
000889	찾아오다
000890	사용
000891	시선
000892	아무런
000893	언론
000894	투자
000895	지원
000896	결정하다
000897	경영
000898	목표
000899	성장
000900	없어지다
000901	작년
000902	내려가다
000903	떠오르다
000904	미치다
000905	새벽
000906	쓰레기
000907	얼른
000908	임금
000909	피해
000910	무섭다
000911	직장
000912	참다
000913	크기
000914	고기
000915	남기다
000916	서양
000917	주요
000918	지나치다
000919	가져오다
000920	냄새
000921	부드럽다
000922	여기다
000923	공연
000924	남녀
000925	내놓다
000926	떼다
000927	만들어지다
000928	속도
000929	심각하다
000930	준비
000931	계속되다
000932	구월
000933	맑다
000934	소년
000935	소식
000936	유월
000937	작용
000938	허리
000939	공업
000940	그중
000941	노인
000942	벌다
000943	살리다
000944	영어
000945	출신
000946	결정
000947	경향
000948	기록
000949	나름
000950	대답하다
000951	반면
000952	썰다
000953	움직임
000954	이미지
000955	터지다
000956	특성
000957	교장
000958	벗다
000959	업무
000960	입시
000961	준비하다
000962	청소년
000963	돕다
000964	이기다
000965	찾아보다
000966	취하다
000967	다루다
000968	사장
000969	삼월
000970	그렇지만
000971	선배
000972	업체
000973	구하다
000974	국회
000975	그러므로
000976	포함하다
000977	걱정
000978	결혼하다
000979	만약
000980	바르다
000981	세월
000982	행사
000983	깨닫다
000984	누나
000985	점점
000986	질문
000987	특별
000988	판단
000989	해결하다
000990	거리
000991	계속하다
000992	그치다
000993	근처
000994	너무나
000995	높이다
000996	부정
000997	사정
000998	도대체
000999	부모님
001000	수출
001001	계시다
001002	자르다
001003	데리다
001004	마리
001005	무척
001006	비용
001007	비행기
001008	옳다
001009	원래
001010	처리
001011	최초
001012	놀이
001013	뜨겁다
001014	뿌리
001015	수입
001016	그리하여
001017	일찍
001018	직원
001019	찍다
001020	가볍다
001021	내부
001022	다소
001023	상대
001024	오전
001025	피부
001026	가게
001027	가득
001028	그저
001029	장군
001030	무역
001031	부담
001032	약속
001033	인사
001034	쳐다보다
001035	충분히
001036	신체
001037	에너지
001038	위원
001039	정리하다
001040	집안
001041	배경
001042	죽이다
001043	단순하다
001044	반대
001045	법칙
001046	소금
001047	오염
001048	자전거
001049	참여하다
001050	푸르다
001051	발표
001052	범죄
001053	흔들다
001054	기초
001055	논리
001056	드라마
001057	뽑다
001058	피우다
001059	감각
001060	미리
001061	부족하다
001062	저희
001063	진행되다
001064	교통
001065	기구
001066	오랜
001067	젊은이
001068	후보
001069	과제
001070	근거
001071	기록하다
001072	다가오다
001073	불다
001074	시각
001075	이끌다
001076	종합
001077	한글
001078	가을
001079	개발하다
001080	내일
001081	떨다
001082	매일
001083	손가락
001084	수단
001085	자유롭다
001086	적극적
001087	판매
001088	형성
001089	기울이다
001090	길이
001091	장면
001092	점차
001093	관련되다
001094	나머지
001095	날씨
001096	더불다
001097	동물
001098	의사
001099	개방
001100	건강하다
001101	미래
001102	앞서
001103	여러분
001104	왜냐하면
001105	인구
001106	기대하다
001107	도착하다
001108	소프트웨어
001109	흘리다
001110	반응
001111	주인공
001112	당연하다
001113	따뜻하다
001114	따로
001115	비판
001116	빌리다
001117	세대
001118	축구
001119	형님
001120	놓이다
001121	당장
001122	무렵
001123	밝다
001124	사물
001125	일반적
001126	장소
001127	곱다
001128	바닥
001129	새끼
001130	생각되다
001131	서비스
001132	선택하다
001133	심다
001134	간단하다
